,Year,Week,Team,TeamName,Opponent,Score,Opp_Score,Result
378,2011,4,KLENK,Best Loser,HAMM,132.0,97.0,W
379,2011,4,HAMM,What Did I Tell You?,KLENK,97.0,132.0,L
380,2011,4,BONO,fighting oompaloompas,LOTH,85.0,166.0,L
381,2011,4,LOTH,Don't Judge A Cripple,BONO,166.0,85.0,W
382,2011,4,JACKROSS,Team Shooter,CRAIG,151.0,125.0,W
383,2011,4,CRAIG,The Comeback Kid... or not.,JACKROSS,125.0,151.0,L
384,2011,5,LOTH,Don't Judge A Cripple,HAMM,103.0,130.0,L
385,2011,5,HAMM,What Did I Tell You?,LOTH,130.0,103.0,W
386,2011,5,MITCH,i dont know a name,KLENK,105.0,142.0,L
387,2011,5,KLENK,Best Loser,MITCH,142.0,105.0,W
388,2011,5,CRAIG,The Comeback Kid... or not.,BONO,101.0,133.0,L
389,2011,5,BONO,fighting oompaloompas,CRAIG,133.0,101.0,W
390,2011,5,JACKROSS,Team Shooter,MEADE,111.0,91.0,W
391,2011,5,MEADE,CYO bball is great,JACKROSS,91.0,111.0,L
392,2011,6,MEADE,CYO bball is great,LOTH,110.0,132.0,L
393,2011,6,LOTH,Don't Judge A Cripple,MEADE,132.0,110.0,W
394,2011,6,MITCH,i dont know a name,CRAIG,129.0,72.0,W
395,2011,6,CRAIG,The Comeback Kid... or not.,MITCH,72.0,129.0,L
396,2011,6,KLENK,Best Loser,BONO,80.0,59.0,W
397,2011,6,BONO,fighting oompaloompas,KLENK,59.0,80.0,L
398,2011,6,JACKROSS,Team Shooter,HAMM,86.0,82.0,W
399,2011,6,HAMM,What Did I Tell You?,JACKROSS,82.0,86.0,L
400,2011,7,MEADE,CYO bball is great,CRAIG,40.0,71.0,L
401,2011,7,CRAIG,The Comeback Kid... or not.,MEADE,71.0,40.0,W
402,2011,7,BONO,fighting oompaloompas,HAMM,91.0,142.0,L
403,2011,7,HAMM,What Did I Tell You?,BONO,142.0,91.0,W
404,2011,7,MITCH,i dont know a name,LOTH,91.0,135.0,L
405,2011,7,LOTH,Don't Judge A Cripple,MITCH,135.0,91.0,W
406,2011,7,JACKROSS,Team Shooter,KLENK,104.0,75.0,W
407,2011,7,KLENK,Best Loser,JACKROSS,75.0,104.0,L
408,2011,8,BONO,fighting oompaloompas,MEADE,98.0,101.0,L
409,2011,8,MEADE,CYO bball is great,BONO,101.0,98.0,W
410,2011,8,CRAIG,The Comeback Kid... or not.,HAMM,100.0,114.0,L
411,2011,8,HAMM,What Did I Tell You?,CRAIG,114.0,100.0,W
412,2011,8,LOTH,Don't Judge A Cripple,KLENK,68.0,111.0,L
413,2011,8,KLENK,Best Loser,LOTH,111.0,68.0,W
414,2011,8,JACKROSS,Team Shooter,MITCH,141.0,83.0,W
415,2011,8,MITCH,i dont know a name,JACKROSS,83.0,141.0,L
416,2011,9,MEADE,CYO bball is great,HAMM,93.0,111.0,L
417,2011,9,HAMM,What Did I Tell You?,MEADE,111.0,93.0,W
418,2011,9,KLENK,Best Loser,CRAIG,77.0,135.0,L
419,2011,9,CRAIG,The Comeback Kid... or not.,KLENK,135.0,77.0,W
420,2011,9,BONO,fighting oompaloompas,MITCH,140.0,66.0,W
421,2011,9,MITCH,i dont know a name,BONO,66.0,140.0,L
422,2011,9,JACKROSS,Team Shooter,LOTH,100.0,132.0,L
423,2011,9,LOTH,Don't Judge A Cripple,JACKROSS,132.0,100.0,W
424,2011,10,HAMM,What Did I Tell You?,MITCH,119.0,112.0,W
425,2011,10,MITCH,i dont know a name,HAMM,112.0,119.0,L
426,2011,10,LOTH,Don't Judge A Cripple,CRAIG,118.0,103.0,W
427,2011,10,CRAIG,The Comeback Kid... or not.,LOTH,103.0,118.0,L
428,2011,10,KLENK,Best Loser,MEADE,77.0,104.0,L
429,2011,10,MEADE,CYO bball is great,KLENK,104.0,77.0,W
430,2011,10,JACKROSS,Team Shooter,BONO,78.0,84.0,L
431,2011,10,BONO,fighting oompaloompas,JACKROSS,84.0,78.0,W
432,2011,11,MITCH,i dont know a name,MEADE,86.0,54.0,W
433,2011,11,MEADE,CYO bball is great,MITCH,54.0,86.0,L
434,2011,11,KLENK,Best Loser,HAMM,77.0,100.0,L
435,2011,11,HAMM,What Did I Tell You?,KLENK,100.0,77.0,W
436,2011,11,BONO,fighting oompaloompas,LOTH,115.0,98.0,W
437,2011,11,LOTH,Don't Judge A Cripple,BONO,98.0,115.0,L
438,2011,11,JACKROSS,Team Shooter,CRAIG,129.0,92.0,W
439,2011,11,CRAIG,The Comeback Kid... or not.,JACKROSS,92.0,129.0,L
440,2011,12,BONO,fighting oompaloompas,CRAIG,79.0,99.0,L
441,2011,12,CRAIG,The Comeback Kid... or not.,BONO,99.0,79.0,W
442,2011,12,LOTH,Don't Judge A Cripple,HAMM,99.0,94.0,W
443,2011,12,HAMM,What Did I Tell You?,LOTH,94.0,99.0,L
444,2011,12,KLENK,Best Loser,MITCH,98.0,137.0,L
445,2011,12,MITCH,i dont know a name,KLENK,137.0,98.0,W
446,2011,12,JACKROSS,Team Shooter,MEADE,81.0,140.0,L
447,2011,12,MEADE,CYO bball is great,JACKROSS,140.0,81.0,W
448,2011,13,CRAIG,The Comeback Kid... or not.,MITCH,122.0,160.0,L
449,2011,13,MITCH,i dont know a name,CRAIG,160.0,122.0,W
450,2011,13,MEADE,CYO bball is great,LOTH,80.0,118.0,L
451,2011,13,LOTH,Don't Judge A Cripple,MEADE,118.0,80.0,W
452,2011,13,BONO,fighting oompaloompas,KLENK,119.0,60.0,W
453,2011,13,KLENK,Best Loser,BONO,60.0,119.0,L
454,2011,13,JACKROSS,Team Shooter,HAMM,95.0,112.0,L
455,2011,13,HAMM,What Did I Tell You?,JACKROSS,112.0,95.0,W
456,2011,14,LOTH,Don't Judge A Cripple,HAMM,170.0,278.0,L
457,2011,14,HAMM,What Did I Tell You?,LOTH,278.0,170.0,W
458,2011,14,MITCH,i dont know a name,JACKROSS,256.0,236.0,W
459,2011,14,JACKROSS,Team Shooter,MITCH,236.0,256.0,L
460,2011,14,MEADE,CYO bball is great,BONO,271.0,176.0,W
461,2011,14,BONO,fighting oompaloompas,MEADE,176.0,271.0,L
462,2011,14,KLENK,Best Loser,CRAIG,194.0,232.0,L
463,2011,14,CRAIG,The Comeback Kid... or not.,KLENK,232.0,194.0,W
464,2011,15,MITCH,i dont know a name,HAMM,274.0,173.0,W
465,2011,15,HAMM,What Did I Tell You?,MITCH,173.0,274.0,L
466,2011,15,LOTH,Don't Judge A Cripple,JACKROSS,265.0,270.0,L
467,2011,15,JACKROSS,Team Shooter,LOTH,270.0,265.0,W
468,2011,15,MEADE,CYO bball is great,CRAIG,217.0,240.0,L
469,2011,15,CRAIG,The Comeback Kid... or not.,MEADE,240.0,217.0,W
470,2011,15,BONO,fighting oompaloompas,KLENK,156.0,218.0,L
471,2011,15,KLENK,Best Loser,BONO,218.0,156.0,W
472,2012,1,CRAIG,Lucky Again,HAMM,82.0,95.0,L
473,2012,1,HAMM,Africa is a Country,CRAIG,95.0,82.0,W
474,2012,1,JETT,It Was in the  Pants She Has,LOTH,102.0,96.0,W
475,2012,1,LOTH,Goon  Squad,JETT,96.0,102.0,L
476,2012,1,DUKE,The New Tricycle,MEADE,101.0,123.0,L
477,2012,1,MEADE,CYO bball is great,DUKE,123.0,101.0,W
478,2012,1,FIELER,1 Shower  a Week,KLENK,115.0,89.0,W
479,2012,1,KLENK,The End of a Season,FIELER,89.0,115.0,L
480,2012,2,HAMM,Africa is a Country,LOTH,66.0,94.0,L
481,2012,2,LOTH,Goon  Squad,HAMM,94.0,66.0,W
482,2012,2,MEADE,CYO bball is great,CRAIG,89.0,156.0,L
483,2012,2,CRAIG,Lucky Again,MEADE,156.0,89.0,W
484,2012,2,KLENK,The End of a Season,JETT,79.0,116.0,L
485,2012,2,JETT,It Was in the  Pants She Has,KLENK,116.0,79.0,W
486,2012,2,FIELER,1 Shower  a Week,DUKE,128.0,117.0,W
487,2012,2,DUKE,The New Tricycle,FIELER,117.0,128.0,L
488,2012,3,MEADE,CYO bball is great,HAMM,111.0,119.0,L
489,2012,3,HAMM,Africa is a Country,MEADE,119.0,111.0,W
490,2012,3,LOTH,Goon  Squad,KLENK,81.0,97.0,L
491,2012,3,KLENK,The End of a Season,LOTH,97.0,81.0,W
492,2012,3,CRAIG,Lucky Again,FIELER,69.0,79.0,L
493,2012,3,FIELER,1 Shower  a Week,CRAIG,79.0,69.0,W
494,2012,3,JETT,It Was in the  Pants She Has,DUKE,105.0,70.0,W
495,2012,3,DUKE,The New Tricycle,JETT,70.0,105.0,L
496,2012,4,HAMM,Africa is a Country,KLENK,124.0,103.0,W
497,2012,4,KLENK,The End of a Season,HAMM,103.0,124.0,L
498,2012,4,FIELER,1 Shower  a Week,MEADE,148.0,128.0,W
499,2012,4,MEADE,CYO bball is great,FIELER,128.0,148.0,L
500,2012,4,DUKE,The New Tricycle,LOTH,92.0,106.0,L
501,2012,4,LOTH,Goon  Squad,DUKE,106.0,92.0,W
502,2012,4,JETT,It Was in the  Pants She Has,CRAIG,106.0,125.0,L
503,2012,4,CRAIG,Lucky Again,JETT,125.0,106.0,W
504,2012,5,FIELER,1 Shower  a Week,HAMM,176.0,78.0,W
505,2012,5,HAMM,Africa is a Country,FIELER,78.0,176.0,L
506,2012,5,KLENK,The End of a Season,DUKE,78.0,55.0,W
507,2012,5,DUKE,The New Tricycle,KLENK,55.0,78.0,L
508,2012,5,MEADE,CYO bball is great,JETT,116.0,126.0,L
509,2012,5,JETT,It Was in the  Pants She Has,MEADE,126.0,116.0,W
510,2012,5,LOTH,Goon  Squad,CRAIG,116.0,115.0,W
511,2012,5,CRAIG,Lucky Again,LOTH,115.0,116.0,L
512,2012,6,HAMM,Africa is a Country,DUKE,91.0,87.0,W
513,2012,6,DUKE,The New Tricycle,HAMM,87.0,91.0,L
514,2012,6,JETT,It Was in the  Pants She Has,FIELER,106.0,81.0,W
515,2012,6,FIELER,1 Shower  a Week,JETT,81.0,106.0,L
516,2012,6,CRAIG,Lucky Again,KLENK,97.0,149.0,L
517,2012,6,KLENK,The End of a Season,CRAIG,149.0,97.0,W
518,2012,6,LOTH,Goon  Squad,MEADE,117.0,65.0,W
519,2012,6,MEADE,CYO bball is great,LOTH,65.0,117.0,L
520,2012,7,JETT,It Was in the  Pants She Has,HAMM,115.0,109.0,W
521,2012,7,HAMM,Africa is a Country,JETT,109.0,115.0,L
522,2012,7,DUKE,The New Tricycle,CRAIG,71.0,132.0,L
523,2012,7,CRAIG,Lucky Again,DUKE,132.0,71.0,W
524,2012,7,FIELER,1 Shower  a Week,LOTH,131.0,92.0,W
525,2012,7,LOTH,Goon  Squad,FIELER,92.0,131.0,L
526,2012,7,KLENK,The End of a Season,MEADE,75.0,60.0,W
527,2012,7,MEADE,CYO bball is great,KLENK,60.0,75.0,L
528,2012,8,HAMM,Africa is a Country,CRAIG,85.0,81.0,W
529,2012,8,CRAIG,Lucky Again,HAMM,81.0,85.0,L
530,2012,8,LOTH,Goon  Squad,JETT,109.0,120.0,L
531,2012,8,JETT,It Was in the  Pants She Has,LOTH,120.0,109.0,W
532,2012,8,MEADE,CYO bball is great,DUKE,61.0,115.0,L
533,2012,8,DUKE,The New Tricycle,MEADE,115.0,61.0,W
534,2012,8,KLENK,The End of a Season,FIELER,83.0,112.0,L
535,2012,8,FIELER,1 Shower  a Week,KLENK,112.0,83.0,W
536,2012,9,LOTH,Goon  Squad,HAMM,77.0,79.0,L
537,2012,9,HAMM,Africa is a Country,LOTH,79.0,77.0,W
538,2012,9,CRAIG,Lucky Again,MEADE,112.0,109.0,W
539,2012,9,MEADE,CYO bball is great,CRAIG,109.0,112.0,L
540,2012,9,JETT,It Was in the  Pants She Has,KLENK,163.0,118.0,W
541,2012,9,KLENK,The End of a Season,JETT,118.0,163.0,L
542,2012,9,DUKE,The New Tricycle,FIELER,79.0,97.0,L
543,2012,9,FIELER,1 Shower  a Week,DUKE,97.0,79.0,W
544,2012,10,HAMM,Africa is a Country,MEADE,112.0,123.0,L
545,2012,10,MEADE,CYO bball is great,HAMM,123.0,112.0,W
546,2012,10,KLENK,The End of a Season,LOTH,101.0,106.0,L
547,2012,10,LOTH,Goon  Squad,KLENK,106.0,101.0,W
548,2012,10,FIELER,1 Shower  a Week,CRAIG,111.0,106.0,W
549,2012,10,CRAIG,Lucky Again,FIELER,106.0,111.0,L
550,2012,10,DUKE,The New Tricycle,JETT,108.0,74.0,W
551,2012,10,JETT,It Was in the  Pants She Has,DUKE,74.0,108.0,L
552,2012,11,KLENK,The End of a Season,HAMM,88.0,106.0,L
553,2012,11,HAMM,Africa is a Country,KLENK,106.0,88.0,W
554,2012,11,MEADE,CYO bball is great,FIELER,69.0,76.0,L
555,2012,11,FIELER,1 Shower  a Week,MEADE,76.0,69.0,W
556,2012,11,LOTH,Goon  Squad,DUKE,63.0,104.0,L
557,2012,11,DUKE,The New Tricycle,LOTH,104.0,63.0,W
558,2012,11,CRAIG,Lucky Again,JETT,98.0,114.0,L
559,2012,11,JETT,It Was in the  Pants She Has,CRAIG,114.0,98.0,W
560,2012,12,HAMM,Africa is a Country,FIELER,152.0,89.0,W
561,2012,12,FIELER,1 Shower  a Week,HAMM,89.0,152.0,L
562,2012,12,DUKE,The New Tricycle,KLENK,79.0,62.0,W
563,2012,12,KLENK,The End of a Season,DUKE,62.0,79.0,L
564,2012,12,JETT,It Was in the  Pants She Has,MEADE,122.0,105.0,W
565,2012,12,MEADE,CYO bball is great,JETT,105.0,122.0,L
566,2012,12,CRAIG,Lucky Again,LOTH,121.0,116.0,W
567,2012,12,LOTH,Goon  Squad,CRAIG,116.0,121.0,L
568,2012,13,DUKE,The New Tricycle,HAMM,96.0,135.0,L
569,2012,13,HAMM,Africa is a Country,DUKE,135.0,96.0,W
570,2012,13,FIELER,1 Shower  a Week,JETT,70.0,83.0,L
571,2012,13,JETT,It Was in the  Pants She Has,FIELER,83.0,70.0,W
572,2012,13,KLENK,The End of a Season,CRAIG,75.0,135.0,L
573,2012,13,CRAIG,Lucky Again,KLENK,135.0,75.0,W
574,2012,13,MEADE,CYO bball is great,LOTH,95.0,67.0,W
575,2012,13,LOTH,Goon  Squad,MEADE,67.0,95.0,L
576,2012,14,JETT,It Was in the  Pants She Has,CRAIG,237.0,201.0,W
577,2012,14,CRAIG,Lucky Again,JETT,201.0,237.0,L
578,2012,14,FIELER,1 Shower  a Week,HAMM,175.0,195.0,L
579,2012,14,HAMM,Africa is a Country,FIELER,195.0,175.0,W
580,2012,14,LOTH,Goon  Squad,KLENK,164.0,272.0,L
581,2012,14,KLENK,The End of a Season,LOTH,272.0,164.0,W
582,2012,14,DUKE,The New Tricycle,MEADE,153.0,209.0,L
583,2012,14,MEADE,CYO bball is great,DUKE,209.0,153.0,W
584,2012,15,JETT,It Was in the  Pants She Has,HAMM,234.0,253.0,L
585,2012,15,HAMM,Africa is a Country,JETT,253.0,234.0,W
586,2012,15,FIELER,1 Shower  a Week,CRAIG,285.0,194.0,W
587,2012,15,CRAIG,Lucky Again,FIELER,194.0,285.0,L
588,2012,15,KLENK,The End of a Season,MEADE,250.0,230.0,W
589,2012,15,MEADE,CYO bball is great,KLENK,230.0,250.0,L
590,2012,15,LOTH,Goon  Squad,DUKE,145.0,137.0,W
591,2012,15,DUKE,The New Tricycle,LOTH,137.0,145.0,L
592,2013,1,CRAIG,NFL Season 2014 - He'll Be Back,HAMM,80.0,123.0,L
593,2013,1,HAMM,"Schwee, I Found Emma's Heart",CRAIG,123.0,80.0,W
594,2013,1,COLLIN,Get me a Jacket I'm Santa(Ryan),LOTH,173.0,148.0,W
595,2013,1,LOTH,Girls Are Overrated,COLLIN,148.0,173.0,L
596,2013,1,RYAN,Sigma Sigma Capi,FIELER,76.0,178.0,L
597,2013,1,FIELER,OCHO  FRATO,RYAN,178.0,76.0,W
598,2013,1,JETT,It needed 2  appearaces,GREG,132.0,90.0,W
599,2013,1,GREG,jett lifting eww eww,JETT,90.0,132.0,L
600,2013,1,ERIC,Schwee's Xmas Present,MURPH,78.0,86.0,L
601,2013,1,MURPH,called it #PhinFever ,ERIC,86.0,78.0,W
602,2013,2,HAMM,"Schwee, I Found Emma's Heart",LOTH,149.0,77.0,W
603,2013,2,LOTH,Girls Are Overrated,HAMM,77.0,149.0,L
604,2013,2,FIELER,OCHO  FRATO,CRAIG,107.0,118.0,L
605,2013,2,CRAIG,NFL Season 2014 - He'll Be Back,FIELER,118.0,107.0,W
606,2013,2,GREG,jett lifting eww eww,COLLIN,121.0,99.0,W
607,2013,2,COLLIN,Get me a Jacket I'm Santa(Ryan),GREG,99.0,121.0,L
608,2013,2,MURPH,called it #PhinFever ,RYAN,98.0,120.0,L
609,2013,2,RYAN,Sigma Sigma Capi,MURPH,120.0,98.0,W
610,2013,2,ERIC,Schwee's Xmas Present,JETT,75.0,102.0,L
611,2013,2,JETT,It needed 2  appearaces,ERIC,102.0,75.0,W
612,2013,3,FIELER,OCHO  FRATO,HAMM,73.0,87.0,L
613,2013,3,HAMM,"Schwee, I Found Emma's Heart",FIELER,87.0,73.0,W
614,2013,3,LOTH,Girls Are Overrated,GREG,66.0,96.0,L
615,2013,3,GREG,jett lifting eww eww,LOTH,96.0,66.0,W
616,2013,3,CRAIG,NFL Season 2014 - He'll Be Back,MURPH,77.0,52.0,W
617,2013,3,MURPH,called it #PhinFever ,CRAIG,52.0,77.0,L
618,2013,3,COLLIN,Get me a Jacket I'm Santa(Ryan),ERIC,115.0,82.0,W
619,2013,3,ERIC,Schwee's Xmas Present,COLLIN,82.0,115.0,L
620,2013,3,RYAN,Sigma Sigma Capi,JETT,150.0,90.0,W
621,2013,3,JETT,It needed 2  appearaces,RYAN,90.0,150.0,L
622,2013,4,HAMM,"Schwee, I Found Emma's Heart",GREG,119.0,149.0,L
623,2013,4,GREG,jett lifting eww eww,HAMM,149.0,119.0,W
624,2013,4,MURPH,called it #PhinFever ,FIELER,113.0,165.0,L
625,2013,4,FIELER,OCHO  FRATO,MURPH,165.0,113.0,W
626,2013,4,ERIC,Schwee's Xmas Present,LOTH,162.0,125.0,W
627,2013,4,LOTH,Girls Are Overrated,ERIC,125.0,162.0,L
628,2013,4,JETT,It needed 2  appearaces,CRAIG,81.0,90.0,L
629,2013,4,CRAIG,NFL Season 2014 - He'll Be Back,JETT,90.0,81.0,W
630,2013,4,RYAN,Sigma Sigma Capi,COLLIN,134.0,90.0,W
631,2013,4,COLLIN,Get me a Jacket I'm Santa(Ryan),RYAN,90.0,134.0,L
632,2013,5,MURPH,called it #PhinFever ,HAMM,78.0,114.0,L
633,2013,5,HAMM,"Schwee, I Found Emma's Heart",MURPH,114.0,78.0,W
634,2013,5,GREG,jett lifting eww eww,ERIC,111.0,66.0,W
635,2013,5,ERIC,Schwee's Xmas Present,GREG,66.0,111.0,L
636,2013,5,FIELER,OCHO  FRATO,JETT,72.0,82.0,L
637,2013,5,JETT,It needed 2  appearaces,FIELER,82.0,72.0,W
638,2013,5,LOTH,Girls Are Overrated,RYAN,109.0,83.0,W
639,2013,5,RYAN,Sigma Sigma Capi,LOTH,83.0,109.0,L
640,2013,5,CRAIG,NFL Season 2014 - He'll Be Back,COLLIN,68.0,130.0,L
641,2013,5,COLLIN,Get me a Jacket I'm Santa(Ryan),CRAIG,130.0,68.0,W
642,2013,6,HAMM,"Schwee, I Found Emma's Heart",ERIC,115.0,87.0,W
643,2013,6,ERIC,Schwee's Xmas Present,HAMM,87.0,115.0,L
644,2013,6,JETT,It needed 2  appearaces,MURPH,102.0,81.0,W
645,2013,6,MURPH,called it #PhinFever ,JETT,81.0,102.0,L
646,2013,6,RYAN,Sigma Sigma Capi,GREG,82.0,101.0,L
647,2013,6,GREG,jett lifting eww eww,RYAN,101.0,82.0,W
648,2013,6,COLLIN,Get me a Jacket I'm Santa(Ryan),FIELER,98.0,85.0,W
649,2013,6,FIELER,OCHO  FRATO,COLLIN,85.0,98.0,L
650,2013,6,CRAIG,NFL Season 2014 - He'll Be Back,LOTH,120.0,110.0,W
651,2013,6,LOTH,Girls Are Overrated,CRAIG,110.0,120.0,L
652,2013,7,JETT,It needed 2  appearaces,HAMM,106.0,64.0,W
653,2013,7,HAMM,"Schwee, I Found Emma's Heart",JETT,64.0,106.0,L
654,2013,7,ERIC,Schwee's Xmas Present,RYAN,76.0,144.0,L
655,2013,7,RYAN,Sigma Sigma Capi,ERIC,144.0,76.0,W
656,2013,7,MURPH,called it #PhinFever ,COLLIN,89.0,91.0,L
657,2013,7,COLLIN,Get me a Jacket I'm Santa(Ryan),MURPH,91.0,89.0,W
658,2013,7,GREG,jett lifting eww eww,CRAIG,95.0,95.0,D
659,2013,7,CRAIG,NFL Season 2014 - He'll Be Back,GREG,95.0,95.0,D
660,2013,7,FIELER,OCHO  FRATO,LOTH,87.0,109.0,L
661,2013,7,LOTH,Girls Are Overrated,FIELER,109.0,87.0,W
662,2013,8,HAMM,"Schwee, I Found Emma's Heart",RYAN,140.0,111.0,W
663,2013,8,RYAN,Sigma Sigma Capi,HAMM,111.0,140.0,L
664,2013,8,COLLIN,Get me a Jacket I'm Santa(Ryan),JETT,93.0,105.0,L
665,2013,8,JETT,It needed 2  appearaces,COLLIN,105.0,93.0,W
666,2013,8,CRAIG,NFL Season 2014 - He'll Be Back,ERIC,93.0,84.0,W
667,2013,8,ERIC,Schwee's Xmas Present,CRAIG,84.0,93.0,L
668,2013,8,LOTH,Girls Are Overrated,MURPH,111.0,83.0,W
669,2013,8,MURPH,called it #PhinFever ,LOTH,83.0,111.0,L
670,2013,8,FIELER,OCHO  FRATO,GREG,96.0,85.0,W
671,2013,8,GREG,jett lifting eww eww,FIELER,85.0,96.0,L
672,2013,9,COLLIN,Get me a Jacket I'm Santa(Ryan),HAMM,163.0,77.0,W
673,2013,9,HAMM,"Schwee, I Found Emma's Heart",COLLIN,77.0,163.0,L
674,2013,9,RYAN,Sigma Sigma Capi,CRAIG,120.0,80.0,W
675,2013,9,CRAIG,NFL Season 2014 - He'll Be Back,RYAN,80.0,120.0,L
676,2013,9,JETT,It needed 2  appearaces,LOTH,130.0,112.0,W
677,2013,9,LOTH,Girls Are Overrated,JETT,112.0,130.0,L
678,2013,9,ERIC,Schwee's Xmas Present,FIELER,112.0,95.0,W
679,2013,9,FIELER,OCHO  FRATO,ERIC,95.0,112.0,L
680,2013,9,MURPH,called it #PhinFever ,GREG,118.0,115.0,W
681,2013,9,GREG,jett lifting eww eww,MURPH,115.0,118.0,L
682,2013,10,HAMM,"Schwee, I Found Emma's Heart",CRAIG,100.0,110.0,L
683,2013,10,CRAIG,NFL Season 2014 - He'll Be Back,HAMM,110.0,100.0,W
684,2013,10,LOTH,Girls Are Overrated,COLLIN,81.0,121.0,L
685,2013,10,COLLIN,Get me a Jacket I'm Santa(Ryan),LOTH,121.0,81.0,W
686,2013,10,FIELER,OCHO  FRATO,RYAN,93.0,120.0,L
687,2013,10,RYAN,Sigma Sigma Capi,FIELER,120.0,93.0,W
688,2013,10,GREG,jett lifting eww eww,JETT,131.0,95.0,W
689,2013,10,JETT,It needed 2  appearaces,GREG,95.0,131.0,L
690,2013,10,MURPH,called it #PhinFever ,ERIC,57.0,66.0,L
691,2013,10,ERIC,Schwee's Xmas Present,MURPH,66.0,57.0,W
692,2013,11,LOTH,Girls Are Overrated,HAMM,93.0,72.0,W
693,2013,11,HAMM,"Schwee, I Found Emma's Heart",LOTH,72.0,93.0,L
694,2013,11,CRAIG,NFL Season 2014 - He'll Be Back,FIELER,92.0,98.0,L
695,2013,11,FIELER,OCHO  FRATO,CRAIG,98.0,92.0,W
696,2013,11,COLLIN,Get me a Jacket I'm Santa(Ryan),GREG,123.0,101.0,W
697,2013,11,GREG,jett lifting eww eww,COLLIN,101.0,123.0,L
698,2013,11,RYAN,Sigma Sigma Capi,MURPH,111.0,84.0,W
699,2013,11,MURPH,called it #PhinFever ,RYAN,84.0,111.0,L
700,2013,11,JETT,It needed 2  appearaces,ERIC,118.0,84.0,W
701,2013,11,ERIC,Schwee's Xmas Present,JETT,84.0,118.0,L
702,2013,12,HAMM,"Schwee, I Found Emma's Heart",FIELER,145.0,72.0,W
703,2013,12,FIELER,OCHO  FRATO,HAMM,72.0,145.0,L
704,2013,12,GREG,jett lifting eww eww,LOTH,100.0,115.0,L
705,2013,12,LOTH,Girls Are Overrated,GREG,115.0,100.0,W
706,2013,12,MURPH,called it #PhinFever ,CRAIG,59.0,61.0,L
707,2013,12,CRAIG,NFL Season 2014 - He'll Be Back,MURPH,61.0,59.0,W
708,2013,12,ERIC,Schwee's Xmas Present,COLLIN,46.0,113.0,L
709,2013,12,COLLIN,Get me a Jacket I'm Santa(Ryan),ERIC,113.0,46.0,W
710,2013,12,JETT,It needed 2  appearaces,RYAN,97.0,106.0,L
711,2013,12,RYAN,Sigma Sigma Capi,JETT,106.0,97.0,W
712,2013,13,GREG,jett lifting eww eww,HAMM,85.0,89.0,L
713,2013,13,HAMM,"Schwee, I Found Emma's Heart",GREG,89.0,85.0,W
714,2013,13,FIELER,OCHO  FRATO,MURPH,139.0,116.0,W
715,2013,13,MURPH,called it #PhinFever ,FIELER,116.0,139.0,L
716,2013,13,LOTH,Girls Are Overrated,ERIC,115.0,101.0,W
717,2013,13,ERIC,Schwee's Xmas Present,LOTH,101.0,115.0,L
718,2013,13,CRAIG,NFL Season 2014 - He'll Be Back,JETT,98.0,93.0,W
719,2013,13,JETT,It needed 2  appearaces,CRAIG,93.0,98.0,L
720,2013,13,COLLIN,Get me a Jacket I'm Santa(Ryan),RYAN,139.0,105.0,W
721,2013,13,RYAN,Sigma Sigma Capi,COLLIN,105.0,139.0,L
722,2013,14,HAMM,"Schwee, I Found Emma's Heart",MURPH,159.0,95.0,W
723,2013,14,MURPH,called it #PhinFever ,HAMM,95.0,159.0,L
724,2013,14,ERIC,Schwee's Xmas Present,GREG,65.0,99.0,L
725,2013,14,GREG,jett lifting eww eww,ERIC,99.0,65.0,W
726,2013,14,JETT,It needed 2  appearaces,FIELER,108.0,86.0,W
727,2013,14,FIELER,OCHO  FRATO,JETT,86.0,108.0,L
728,2013,14,RYAN,Sigma Sigma Capi,LOTH,91.0,62.0,W
729,2013,14,LOTH,Girls Are Overrated,RYAN,62.0,91.0,L
730,2013,14,COLLIN,Get me a Jacket I'm Santa(Ryan),CRAIG,178.0,74.0,W
731,2013,14,CRAIG,NFL Season 2014 - He'll Be Back,COLLIN,74.0,178.0,L
732,2013,15,JETT,It needed 2  appearaces,CRAIG,108.0,135.0,L
733,2013,15,CRAIG,NFL Season 2014 - He'll Be Back,JETT,135.0,108.0,W
734,2013,15,RYAN,Sigma Sigma Capi,GREG,138.0,124.0,W
735,2013,15,GREG,jett lifting eww eww,RYAN,124.0,138.0,L
736,2013,15,LOTH,Girls Are Overrated,FIELER,114.0,115.0,L
737,2013,15,FIELER,OCHO  FRATO,LOTH,115.0,114.0,W
738,2013,15,ERIC,Schwee's Xmas Present,MURPH,108.0,104.0,W
739,2013,15,MURPH,called it #PhinFever ,ERIC,104.0,108.0,L
740,2013,16,COLLIN,Get me a Jacket I'm Santa(Ryan),CRAIG,110.0,73.0,W
741,2013,16,CRAIG,NFL Season 2014 - He'll Be Back,COLLIN,73.0,110.0,L
742,2013,16,HAMM,"Schwee, I Found Emma's Heart",RYAN,98.0,114.0,L
743,2013,16,RYAN,Sigma Sigma Capi,HAMM,114.0,98.0,W
744,2013,16,JETT,It needed 2  appearaces,GREG,139.0,82.0,W
745,2013,16,GREG,jett lifting eww eww,JETT,82.0,139.0,L
746,2013,16,FIELER,OCHO  FRATO,ERIC,106.0,67.0,W
747,2013,16,ERIC,Schwee's Xmas Present,FIELER,67.0,106.0,L
