,Year,Week,Team,TeamName,Opponent,Score,Opp_Score,Result
84,2009,9,MEADE,Team 8Nick/Nick,TEPE,97.0,76.0,W
85,2009,9,TEPE,Team 3Cam/Cole,MEADE,76.0,97.0,L
86,2009,9,HOFFY,Team 7Hoffy/Josh,PETERS,85.0,78.0,W
87,2009,9,PETERS,the kids that own everyo,HOFFY,78.0,85.0,L
88,2009,9,LOTH,In It 4  The Partys,DUKE,126.0,68.0,W
89,2009,9,DUKE,Mr free's  Side Kick,LOTH,68.0,126.0,L
90,2009,10,HAMM,The Dominators,CRAIG,97.0,76.0,W
91,2009,10,CRAIG,The Good Bye Kids,HAMM,76.0,97.0,L
92,2009,10,TEPE,Team 3Cam/Cole,KLENK,82.0,79.0,W
93,2009,10,KLENK,The Chunky Monkeys,TEPE,79.0,82.0,L
94,2009,10,PETERS,the kids that own everyo,KERN,60.0,39.0,W
95,2009,10,KERN,Team X-Men,PETERS,39.0,60.0,L
96,2009,10,DUKE,Mr free's  Side Kick,MEADE,102.0,76.0,W
97,2009,10,MEADE,Team 8Nick/Nick,DUKE,76.0,102.0,L
98,2009,10,LOTH,In It 4  The Partys,HOFFY,67.0,76.0,L
99,2009,10,HOFFY,Team 7Hoffy/Josh,LOTH,76.0,67.0,W
100,2009,11,TEPE,Team 3Cam/Cole,HAMM,111.0,86.0,W
101,2009,11,HAMM,The Dominators,TEPE,86.0,111.0,L
102,2009,11,CRAIG,The Good Bye Kids,PETERS,89.0,91.0,L
103,2009,11,PETERS,the kids that own everyo,CRAIG,91.0,89.0,W
104,2009,11,KLENK,The Chunky Monkeys,DUKE,75.0,72.0,W
105,2009,11,DUKE,Mr free's  Side Kick,KLENK,72.0,75.0,L
106,2009,11,KERN,Team X-Men,LOTH,87.0,100.0,L
107,2009,11,LOTH,In It 4  The Partys,KERN,100.0,87.0,W
108,2009,11,MEADE,Team 8Nick/Nick,HOFFY,85.0,73.0,W
109,2009,11,HOFFY,Team 7Hoffy/Josh,MEADE,73.0,85.0,L
110,2009,12,HAMM,The Dominators,PETERS,82.0,81.0,W
111,2009,12,PETERS,the kids that own everyo,HAMM,81.0,82.0,L
112,2009,12,DUKE,Mr free's  Side Kick,TEPE,73.0,70.0,W
113,2009,12,TEPE,Team 3Cam/Cole,DUKE,70.0,73.0,L
114,2009,12,LOTH,In It 4  The Partys,CRAIG,80.0,90.0,L
115,2009,12,CRAIG,The Good Bye Kids,LOTH,90.0,80.0,W
116,2009,12,HOFFY,Team 7Hoffy/Josh,KLENK,78.0,102.0,L
117,2009,12,KLENK,The Chunky Monkeys,HOFFY,102.0,78.0,W
118,2009,12,MEADE,Team 8Nick/Nick,KERN,107.0,88.0,W
119,2009,12,KERN,Team X-Men,MEADE,88.0,107.0,L
120,2009,13,DUKE,Mr free's  Side Kick,HAMM,50.0,118.0,L
121,2009,13,HAMM,The Dominators,DUKE,118.0,50.0,W
122,2009,13,PETERS,the kids that own everyo,LOTH,58.0,77.0,L
123,2009,13,LOTH,In It 4  The Partys,PETERS,77.0,58.0,W
124,2009,13,TEPE,Team 3Cam/Cole,HOFFY,80.0,74.0,W
125,2009,13,HOFFY,Team 7Hoffy/Josh,TEPE,74.0,80.0,L
126,2009,13,CRAIG,The Good Bye Kids,MEADE,73.0,104.0,L
127,2009,13,MEADE,Team 8Nick/Nick,CRAIG,104.0,73.0,W
128,2009,13,KLENK,The Chunky Monkeys,KERN,74.0,90.0,L
129,2009,13,KERN,Team X-Men,KLENK,90.0,74.0,W
130,2009,14,KLENK,The Chunky Monkeys,KERN,145.0,202.0,L
131,2009,14,KERN,Team X-Men,KLENK,202.0,145.0,W
132,2009,14,HAMM,The Dominators,MEADE,219.0,189.0,W
133,2009,14,MEADE,Team 8Nick/Nick,HAMM,189.0,219.0,L
134,2009,14,HOFFY,Team 7Hoffy/Josh,TEPE,162.0,168.0,L
135,2009,14,TEPE,Team 3Cam/Cole,HOFFY,168.0,162.0,W
136,2009,14,PETERS,the kids that own everyo,LOTH,143.0,176.0,L
137,2009,14,LOTH,In It 4  The Partys,PETERS,176.0,143.0,W
138,2009,14,CRAIG,The Good Bye Kids,DUKE,146.0,181.0,L
139,2009,14,DUKE,Mr free's  Side Kick,CRAIG,181.0,146.0,W
140,2009,15,HAMM,The Dominators,KERN,171.0,184.0,L
141,2009,15,KERN,Team X-Men,HAMM,184.0,171.0,W
142,2009,15,KLENK,The Chunky Monkeys,MEADE,163.0,99.0,W
143,2009,15,MEADE,Team 8Nick/Nick,KLENK,99.0,163.0,L
144,2009,15,TEPE,Team 3Cam/Cole,LOTH,187.0,152.0,W
145,2009,15,LOTH,In It 4  The Partys,TEPE,152.0,187.0,L
146,2009,15,HOFFY,Team 7Hoffy/Josh,DUKE,170.0,112.0,W
147,2009,15,DUKE,Mr free's  Side Kick,HOFFY,112.0,170.0,L
148,2009,15,PETERS,the kids that own everyo,CRAIG,146.0,207.0,L
149,2009,15,CRAIG,The Good Bye Kids,PETERS,207.0,146.0,W
150,2010,1,CRAIG,Michael Vick Is Amazing,HAMM,48.0,63.0,L
151,2010,1,HAMM,The Bengals Are Awful,CRAIG,63.0,48.0,W
152,2010,1,KERN,Back to Back Champs,PETERS,92.0,84.0,W
153,2010,1,PETERS,Team 3,KERN,84.0,92.0,L
154,2010,1,MEADE,Team Meade,TIERNAN,69.0,68.0,W
155,2010,1,TIERNAN,I SUCK at Fantasyfootball,MEADE,68.0,69.0,L
156,2010,1,LOTH,The Hungry Sharks,KLENK,81.0,87.0,L
157,2010,1,KLENK,Go Buckeyes,LOTH,87.0,81.0,W
158,2010,1,DUKE,Team Duke,MITCH,54.0,68.0,L
159,2010,1,MITCH,Team schoener,DUKE,68.0,54.0,W
160,2010,1,TEPE,Team tepe,KEVIN,116.0,77.0,W
161,2010,1,KEVIN,Team spurlock,TEPE,77.0,116.0,L
162,2010,2,PETERS,Team 3,CRAIG,117.0,116.0,W
163,2010,2,CRAIG,Michael Vick Is Amazing,PETERS,116.0,117.0,L
164,2010,2,TIERNAN,I SUCK at Fantasyfootball,KLENK,71.0,81.0,L
165,2010,2,KLENK,Go Buckeyes,TIERNAN,81.0,71.0,W
166,2010,2,LOTH,The Hungry Sharks,KERN,60.0,95.0,L
167,2010,2,KERN,Back to Back Champs,LOTH,95.0,60.0,W
168,2010,2,HAMM,The Bengals Are Awful,MEADE,66.0,86.0,L
169,2010,2,MEADE,Team Meade,HAMM,86.0,66.0,W
170,2010,2,TEPE,Team tepe,DUKE,117.0,87.0,W
171,2010,2,DUKE,Team Duke,TEPE,87.0,117.0,L
172,2010,2,KEVIN,Team spurlock,MITCH,57.0,90.0,L
173,2010,2,MITCH,Team schoener,KEVIN,90.0,57.0,W
174,2010,3,PETERS,Team 3,HAMM,111.0,89.0,W
175,2010,3,HAMM,The Bengals Are Awful,PETERS,89.0,111.0,L
176,2010,3,CRAIG,Michael Vick Is Amazing,LOTH,115.0,119.0,L
177,2010,3,LOTH,The Hungry Sharks,CRAIG,119.0,115.0,W
