Team,Year,Week,Points,Pts_Against,Result,Opponent,W,L,D
HAMM,2018,5,105.30,83.4,W,CAP,1,0,0
RYAN,2018,3,106.80,92.7,W,LOTH,1,0,0
MURPH,2018,6,95.10,105.3,L,RYAN,0,1,0
FIELER,2018,6,99.20,115.9,L,CRAIG,0,1,0
ERIC,2018,6,93.60,172.8,L,HAMM,0,1,0
FIELER,2018,3,105.10,90.1,W,CAP,1,0,0
COLLIN,2018,6,95.80,101,L,LOTH,0,1,0
CAP,2018,6,123.20,161.9,L,JAMES,0,1,0
DUKE,2018,6,77.80,195.1,L,BISCH,0,1,0
COLLIN,2018,16,121.50,106.3,W,CRAIG,1,0,0
CAP,2018,13,102.50,87.2,W,DUKE,1,0,0
HAMM,2018,6,172.80,93.6,W,ERIC,1,0,0
CRAIG,2018,7,82.20,125.5,L,LOTH,0,1,0
DUKE,2018,4,129.50,113.9,W,COLLIN,1,0,0
RYAN,2018,13,118.90,102.3,W,FIELER,1,0,0
CRAIG,2018,6,115.90,99.2,W,FIELER,1,0,0
ERIC,2018,7,118.90,136,L,JAMES,0,1,0
JAMES,2018,7,136.00,118.9,W,ERIC,1,0,0
COLLIN,2018,1,98.10,80.7,W,ERIC,1,0,0
CAP,2018,7,74.70,140.9,L,MURPH,0,1,0
DUKE,2018,7,85.60,95.6,L,FIELER,0,1,0
MURPH,2018,11,111.40,92.6,W,DUKE,1,0,0
BISCH,2018,7,118.80,123.4,L,RYAN,0,1,0
HAMM,2018,7,113.90,122.9,L,COLLIN,0,1,0
FIELER,2018,10,132.00,112.5,W,HAMM,1,0,0
LOTH,2018,8,129.70,137.6,L,DUKE,0,1,0
RYAN,2018,15,103.50,83.3,W,BISCH,1,0,0
FIELER,2018,8,70.40,134.5,L,BISCH,0,1,0
ERIC,2018,8,102.90,137.3,L,MURPH,0,1,0
JAMES,2018,13,139.70,119.2,W,HAMM,1,0,0
COLLIN,2018,8,93.10,140.6,L,JAMES,0,1,0
CAP,2018,8,94.60,136.5,L,RYAN,0,1,0
CRAIG,2018,9,117.70,96.6,W,JAMES,1,0,0
RYAN,2018,2,110.20,88.8,W,FIELER,1,0,0
JAMES,2018,3,112.50,90.9,W,BISCH,1,0,0
HAMM,2018,8,99.40,107.6,L,CRAIG,0,1,0
HAMM,2018,9,100.50,124.3,L,DUKE,0,1,0
DUKE,2018,10,132.70,110.2,W,JAMES,1,0,0
MURPH,2018,9,127.40,130,L,COLLIN,0,1,0
FIELER,2018,9,70.10,119.3,L,LOTH,0,1,0
ERIC,2018,9,125.30,150.2,L,RYAN,0,1,0
DUKE,2018,9,124.30,100.5,W,HAMM,1,0,0
RYAN,2018,9,150.20,125.3,W,ERIC,1,0,0
CAP,2018,9,109.10,114.4,L,BISCH,0,1,0
JAMES,2018,1,126.20,100.8,W,LOTH,1,0,0
JAMES,2018,9,96.60,117.7,L,CRAIG,0,1,0
CRAIG,2018,13,96.40,70.9,W,ERIC,1,0,0
HAMM,2018,10,112.50,132,L,FIELER,0,1,0
JAMES,2018,15,88.00,62,W,MURPH,1,0,0
LOTH,2018,10,126.10,153.2,L,BISCH,0,1,0
MURPH,2018,10,122.00,168,L,CRAIG,0,1,0
LOTH,2018,16,120.70,94.7,W,HAMM,1,0,0
ERIC,2018,10,88.50,92.6,L,CAP,0,1,0
BISCH,2018,4,130.60,104.2,W,CRAIG,1,0,0
COLLIN,2018,10,77.90,133.2,L,RYAN,0,1,0
BISCH,2018,10,153.20,126.1,W,LOTH,1,0,0
CRAIG,2018,15,109.20,79.8,W,LOTH,1,0,0
JAMES,2018,10,110.20,132.7,L,DUKE,0,1,0
DUKE,2018,16,151.50,121.5,W,FIELER,1,0,0
BISCH,2018,16,131.30,101.1,W,MURPH,1,0,0
BISCH,2018,13,115.50,83.2,W,COLLIN,1,0,0
LOTH,2018,11,128.70,135.4,L,HAMM,0,1,0
COLLIN,2018,3,137.50,104.2,W,CRAIG,1,0,0
COLLIN,2018,12,116.30,82.7,W,ERIC,1,0,0
MURPH,2018,3,136.10,101.7,W,HAMM,1,0,0
RYAN,2018,11,125.70,177.8,L,CRAIG,0,1,0
MURPH,2018,8,137.30,102.9,W,ERIC,1,0,0
CAP,2018,11,62.90,136.9,L,COLLIN,0,1,0
DUKE,2018,11,92.60,111.4,L,MURPH,0,1,0
JAMES,2018,11,66.90,122.8,L,FIELER,0,1,0
BISCH,2018,11,99.20,98.9,W,ERIC,1,0,0
HAMM,2018,11,135.40,128.7,W,LOTH,1,0,0
COLLIN,2018,15,113.40,78.4,W,HAMM,1,0,0
RYAN,2018,12,148.80,113.4,W,DUKE,1,0,0
JAMES,2018,6,161.90,123.2,W,CAP,1,0,0
FIELER,2018,12,100.80,111,L,MURPH,0,1,0
ERIC,2018,12,82.70,116.3,L,COLLIN,0,1,0
RYAN,2018,8,136.50,94.6,W,CAP,1,0,0
ERIC,2018,4,169.00,127,W,FIELER,1,0,0
CAP,2018,12,124.30,131.3,L,CRAIG,0,1,0
DUKE,2018,12,113.40,148.8,L,RYAN,0,1,0
JAMES,2018,12,112.60,114,L,LOTH,0,1,0
CRAIG,2018,14,140.20,97.9,W,MURPH,1,0,0
HAMM,2018,12,120.70,129.2,L,BISCH,0,1,0
LOTH,2018,7,125.50,82.2,W,CRAIG,1,0,0
LOTH,2018,14,136.80,93,W,RYAN,1,0,0
MURPH,2018,13,97.70,110.1,L,LOTH,0,1,0
FIELER,2018,13,102.30,118.9,L,RYAN,0,1,0
ERIC,2018,13,70.90,96.4,L,CRAIG,0,1,0
CRAIG,2018,1,132.30,88.4,W,CAP,1,0,0
COLLIN,2018,13,83.20,115.5,L,BISCH,0,1,0
CRAIG,2018,10,168.00,122,W,MURPH,1,0,0
DUKE,2018,13,87.20,102.5,L,CAP,0,1,0
JAMES,2018,8,140.60,93.1,W,COLLIN,1,0,0
HAMM,2018,13,119.20,139.7,L,JAMES,0,1,0
LOTH,2018,9,119.30,70.1,W,FIELER,1,0,0
CRAIG,2018,11,177.80,125.7,W,RYAN,1,0,0
BISCH,2018,5,135.40,82.7,W,MURPH,1,0,0
MURPH,2018,14,97.90,140.2,L,CRAIG,0,1,0
FIELER,2018,5,146.90,92.6,W,COLLIN,1,0,0
ERIC,2018,14,42.40,97,L,CAP,0,1,0
RYAN,2018,14,93.00,136.8,L,LOTH,0,1,0
CAP,2018,14,97.00,42.4,W,ERIC,1,0,0
DUKE,2018,2,109.40,54.2,W,CAP,1,0,0
DUKE,2018,14,126.20,129,L,FIELER,0,1,0
JAMES,2018,14,112.20,126.2,L,HAMM,0,1,0
BISCH,2018,14,88.50,99.9,L,COLLIN,0,1,0
HAMM,2018,14,126.20,112.2,W,JAMES,1,0,0
RYAN,2018,10,133.20,77.9,W,COLLIN,1,0,0
LOTH,2018,15,79.80,109.2,L,CRAIG,0,1,0
MURPH,2018,15,62.00,88,L,JAMES,0,1,0
FIELER,2018,11,122.80,66.9,W,JAMES,1,0,0
ERIC,2018,15,78.60,135.6,L,DUKE,0,1,0
CAP,2018,16,134.60,78.6,W,ERIC,1,0,0
LOTH,2018,4,163.80,107.6,W,CAP,1,0,0
CAP,2018,15,90.80,101.5,L,FIELER,0,1,0
JAMES,2018,5,156.20,99.5,W,RYAN,1,0,0
DUKE,2018,15,135.60,78.6,W,ERIC,1,0,0
BISCH,2018,15,83.30,103.5,L,RYAN,0,1,0
HAMM,2018,15,78.40,113.4,L,COLLIN,0,1,0
CRAIG,2018,16,106.30,121.5,L,COLLIN,0,1,0
BISCH,2018,8,134.50,70.4,W,FIELER,1,0,0
MURPH,2018,16,101.10,131.3,L,BISCH,0,1,0
FIELER,2018,16,121.50,151.5,L,DUKE,0,1,0
ERIC,2018,16,78.60,134.6,L,CAP,0,1,0
RYAN,2018,16,95.30,98.4,L,JAMES,0,1,0
MURPH,2018,7,140.90,74.7,W,CAP,1,0,0
CRAIG,2018,5,164.60,91.8,W,DUKE,1,0,0
COLLIN,2018,11,136.90,62.9,W,CAP,1,0,0
HAMM,2018,16,94.70,120.7,L,LOTH,0,1,0
BISCH,2018,6,195.10,77.8,W,DUKE,1,0,0
HAMM,2017,1,96.30,72.9,W,BISCH,1,0,0
HAMM,2017,2,109.80,76.8,W,RYAN,1,0,0
HAMM,2017,3,108.60,142.4,L,CAP,0,1,0
HAMM,2017,4,121.40,93.4,W,COLLIN,1,0,0
HAMM,2017,5,119.50,92.8,W,JAMES,1,0,0
HAMM,2017,6,93.80,107.3,L,MURPH,0,1,0
HAMM,2017,7,82.80,104.5,L,ERIC,0,1,0
HAMM,2017,8,99.60,114.3,L,DUKE,0,1,0
HAMM,2017,9,110.80,37.3,W,LOTH,1,0,0
HAMM,2017,10,83.40,62.6,W,FIELER,1,0,0
HAMM,2017,11,78.50,111.5,L,CRAIG,0,1,0
HAMM,2017,12,99.10,124.3,L,BISCH,0,1,0
HAMM,2017,13,83.40,126.1,L,RYAN,0,1,0
HAMM,2017,14,132.70,116.9,W,DUKE,1,0,0
HAMM,2017,15,120.10,80.9,W,CAP,1,0,0
HAMM,2017,16,85.10,98.7,L,DUKE,0,1,0
CRAIG,2017,1,77.10,108.8,L,FIELER,0,1,0
CRAIG,2017,2,88.30,125.2,L,LOTH,0,1,0
CRAIG,2017,3,58.40,114.1,L,BISCH,0,1,0
CRAIG,2017,4,66.70,115,L,RYAN,0,1,0
CRAIG,2017,5,109.10,80.7,W,CAP,1,0,0
CRAIG,2017,6,84.00,84.5,L,COLLIN,0,1,0
CRAIG,2017,7,96.40,117.5,L,JAMES,0,1,0
CRAIG,2017,8,64.10,98.3,L,MURPH,0,1,0
CRAIG,2017,9,93.60,88.7,W,ERIC,1,0,0
CRAIG,2017,10,127.90,161.2,L,DUKE,0,1,0
CRAIG,2017,11,111.50,78.5,W,HAMM,1,0,0
CRAIG,2017,12,122.40,65,W,FIELER,1,0,0
CRAIG,2017,13,96.10,62.5,W,LOTH,1,0,0
CRAIG,2017,14,80.70,94.8,L,CAP,0,1,0
CRAIG,2017,15,103.10,168.8,L,DUKE,0,1,0
CRAIG,2017,16,102.70,93,W,CAP,1,0,0
LOTH,2017,1,114.00,99.8,W,JAMES,1,0,0
LOTH,2017,2,125.20,88.3,W,CRAIG,1,0,0
LOTH,2017,3,134.60,111.8,W,MURPH,1,0,0
LOTH,2017,4,122.20,80.3,W,BISCH,1,0,0
LOTH,2017,5,94.30,80.3,W,ERIC,1,0,0
LOTH,2017,6,117.40,106,W,RYAN,1,0,0
LOTH,2017,7,100.40,116.1,L,DUKE,0,1,0
LOTH,2017,8,99.80,111.1,L,CAP,0,1,0
LOTH,2017,9,37.30,110.8,L,HAMM,0,1,0
LOTH,2017,10,93.60,93.9,L,COLLIN,0,1,0
LOTH,2017,11,115.90,67.3,W,FIELER,1,0,0
LOTH,2017,12,109.90,167.1,L,JAMES,0,1,0
LOTH,2017,13,62.50,96.1,L,CRAIG,0,1,0
LOTH,2017,14,72.50,105.5,L,RYAN,0,1,0
LOTH,2017,15,77.70,83.3,L,FIELER,0,1,0
LOTH,2017,16,51.70,75.5,L,JAMES,0,1,0
MURPH,2017,1,93.70,87.2,W,COLLIN,1,0,0
MURPH,2017,2,101.30,103.7,L,JAMES,0,1,0
MURPH,2017,3,111.80,134.6,L,LOTH,0,1,0
MURPH,2017,4,110.10,79.3,W,ERIC,1,0,0
MURPH,2017,5,102.80,93.8,W,DUKE,1,0,0
MURPH,2017,6,107.30,93.8,W,HAMM,1,0,0
MURPH,2017,7,96.30,100.1,L,FIELER,0,1,0
MURPH,2017,8,98.30,64.1,W,CRAIG,1,0,0
MURPH,2017,9,91.20,116.2,L,BISCH,0,1,0
MURPH,2017,10,113.50,92.7,W,RYAN,1,0,0
MURPH,2017,11,91.40,116.8,L,CAP,0,1,0
MURPH,2017,12,127.60,78.1,W,COLLIN,1,0,0
MURPH,2017,13,118.30,114.8,W,JAMES,1,0,0
MURPH,2017,14,111.70,90.5,W,JAMES,1,0,0
MURPH,2017,15,118.00,79.5,W,RYAN,1,0,0
MURPH,2017,16,107.90,127.5,L,COLLIN,0,1,0
FIELER,2017,1,108.80,77.1,W,CRAIG,1,0,0
FIELER,2017,2,72.50,95.7,L,BISCH,0,1,0
FIELER,2017,3,160.50,90.2,W,RYAN,1,0,0
FIELER,2017,4,104.50,99.2,W,CAP,1,0,0
FIELER,2017,5,81.30,86.3,L,COLLIN,0,1,0
FIELER,2017,6,123.50,93.5,W,JAMES,1,0,0
FIELER,2017,7,100.10,96.3,W,MURPH,1,0,0
FIELER,2017,8,95.30,90.6,W,ERIC,1,0,0
FIELER,2017,9,95.30,91.5,W,DUKE,1,0,0
FIELER,2017,10,62.60,83.4,L,HAMM,0,1,0
FIELER,2017,11,67.30,115.9,L,LOTH,0,1,0
FIELER,2017,12,65.00,122.4,L,CRAIG,0,1,0
FIELER,2017,13,83.10,138.4,L,BISCH,0,1,0
FIELER,2017,14,109.10,141.5,L,COLLIN,0,1,0
FIELER,2017,15,83.30,77.7,W,LOTH,1,0,0
FIELER,2017,16,62.10,86.6,L,ERIC,0,1,0
ERIC,2017,1,99.70,98,W,CAP,1,0,0
ERIC,2017,2,135.20,103.5,W,COLLIN,1,0,0
ERIC,2017,3,82.50,93,L,JAMES,0,1,0
ERIC,2017,4,79.30,110.1,L,MURPH,0,1,0
ERIC,2017,5,80.30,94.3,L,LOTH,0,1,0
ERIC,2017,6,130.40,124.5,W,DUKE,1,0,0
ERIC,2017,7,104.50,82.8,W,HAMM,1,0,0
ERIC,2017,8,90.60,95.3,L,FIELER,0,1,0
ERIC,2017,9,88.70,93.6,L,CRAIG,0,1,0
ERIC,2017,10,112.40,112.7,L,BISCH,0,1,0
ERIC,2017,11,123.50,116.9,W,RYAN,1,0,0
ERIC,2017,12,139.50,106.1,W,CAP,1,0,0
ERIC,2017,13,97.40,111.6,L,COLLIN,0,1,0
ERIC,2017,14,101.60,123.2,L,BISCH,0,1,0
ERIC,2017,15,99.90,97.6,W,JAMES,1,0,0
ERIC,2017,16,86.60,62.1,W,FIELER,1,0,0
RYAN,2017,1,89.20,126.9,L,DUKE,0,1,0
RYAN,2017,2,76.80,109.8,L,HAMM,0,1,0
RYAN,2017,3,90.20,160.5,L,FIELER,0,1,0
RYAN,2017,4,115.00,66.7,W,CRAIG,1,0,0
RYAN,2017,5,143.10,96.4,W,BISCH,1,0,0
RYAN,2017,6,106.00,117.4,L,LOTH,0,1,0
RYAN,2017,7,120.30,87.4,W,CAP,1,0,0
RYAN,2017,8,152.20,102.2,W,COLLIN,1,0,0
RYAN,2017,9,113.60,158.1,L,JAMES,0,1,0
RYAN,2017,10,92.70,113.5,L,MURPH,0,1,0
RYAN,2017,11,116.90,123.5,L,ERIC,0,1,0
RYAN,2017,12,113.10,80.8,W,DUKE,1,0,0
RYAN,2017,13,126.10,83.4,W,HAMM,1,0,0
RYAN,2017,14,105.50,72.5,W,LOTH,1,0,0
RYAN,2017,15,79.50,118,L,MURPH,0,1,0
RYAN,2017,16,130.10,88.4,W,BISCH,1,0,0
COLLIN,2017,1,87.20,93.7,L,MURPH,0,1,0
COLLIN,2017,2,103.50,135.2,L,ERIC,0,1,0
COLLIN,2017,3,115.10,105.9,W,DUKE,1,0,0
COLLIN,2017,4,93.40,121.4,L,HAMM,0,1,0
COLLIN,2017,5,86.30,81.3,W,FIELER,1,0,0
COLLIN,2017,6,84.50,84,W,CRAIG,1,0,0
COLLIN,2017,7,121.50,128.9,L,BISCH,0,1,0
COLLIN,2017,8,102.20,152.2,L,RYAN,0,1,0
COLLIN,2017,9,110.60,103.4,W,CAP,1,0,0
COLLIN,2017,10,93.90,93.6,W,LOTH,1,0,0
COLLIN,2017,11,104.40,74.3,W,JAMES,1,0,0
COLLIN,2017,12,78.10,127.6,L,MURPH,0,1,0
COLLIN,2017,13,111.60,97.4,W,ERIC,1,0,0
COLLIN,2017,14,141.50,109.1,W,FIELER,1,0,0
COLLIN,2017,15,124.80,84.9,W,BISCH,1,0,0
COLLIN,2017,16,127.50,107.9,W,MURPH,1,0,0
CAP,2017,1,98.00,99.7,L,ERIC,0,1,0
CAP,2017,2,129.40,94,W,DUKE,1,0,0
CAP,2017,3,142.40,108.6,W,HAMM,1,0,0
CAP,2017,4,99.20,104.5,L,FIELER,0,1,0
CAP,2017,5,80.70,109.1,L,CRAIG,0,1,0
CAP,2017,6,96.00,96.3,L,BISCH,0,1,0
CAP,2017,7,87.40,120.3,L,RYAN,0,1,0
CAP,2017,8,111.10,99.8,W,LOTH,1,0,0
CAP,2017,9,103.40,110.6,L,COLLIN,0,1,0
CAP,2017,10,105.00,83.3,W,JAMES,1,0,0
CAP,2017,11,116.80,91.4,W,MURPH,1,0,0
CAP,2017,12,106.10,139.5,L,ERIC,0,1,0
CAP,2017,13,107.10,109.2,L,DUKE,0,1,0
CAP,2017,14,94.80,80.7,W,CRAIG,1,0,0
CAP,2017,15,80.90,120.1,L,HAMM,0,1,0
CAP,2017,16,93.00,102.7,L,CRAIG,0,1,0
DUKE,2017,1,126.90,89.2,W,RYAN,1,0,0
DUKE,2017,2,94.00,129.4,L,CAP,0,1,0
DUKE,2017,3,105.90,115.1,L,COLLIN,0,1,0
DUKE,2017,4,93.40,114,L,JAMES,0,1,0
DUKE,2017,5,93.80,102.8,L,MURPH,0,1,0
DUKE,2017,6,124.50,130.4,L,ERIC,0,1,0
DUKE,2017,7,116.10,100.4,W,LOTH,1,0,0
DUKE,2017,8,114.30,99.6,W,HAMM,1,0,0
DUKE,2017,9,91.50,95.3,L,FIELER,0,1,0
DUKE,2017,10,161.20,127.9,W,CRAIG,1,0,0
DUKE,2017,11,140.20,159.4,L,BISCH,0,1,0
DUKE,2017,12,80.80,113.1,L,RYAN,0,1,0
DUKE,2017,13,109.20,107.1,W,CAP,1,0,0
DUKE,2017,14,116.90,132.7,L,HAMM,0,1,0
DUKE,2017,15,168.80,103.1,W,CRAIG,1,0,0
DUKE,2017,16,98.70,85.1,W,HAMM,1,0,0
JAMES,2017,1,99.80,114,L,LOTH,0,1,0
JAMES,2017,2,103.70,101.3,W,MURPH,1,0,0
JAMES,2017,3,93.00,82.5,W,ERIC,1,0,0
JAMES,2017,4,114.00,93.4,W,DUKE,1,0,0
JAMES,2017,5,92.80,119.5,L,HAMM,0,1,0
JAMES,2017,6,93.50,123.5,L,FIELER,0,1,0
JAMES,2017,7,117.50,96.4,W,CRAIG,1,0,0
JAMES,2017,8,89.90,138,L,BISCH,0,1,0
JAMES,2017,9,158.10,113.6,W,RYAN,1,0,0
JAMES,2017,10,83.30,105,L,CAP,0,1,0
JAMES,2017,11,74.30,104.4,L,COLLIN,0,1,0
JAMES,2017,12,167.10,109.9,W,LOTH,1,0,0
JAMES,2017,13,114.80,118.3,L,MURPH,0,1,0
JAMES,2017,14,90.50,111.7,L,MURPH,0,1,0
JAMES,2017,15,97.60,99.9,L,ERIC,0,1,0
JAMES,2017,16,75.50,51.7,W,LOTH,1,0,0
BISCH,2017,1,72.90,96.3,L,HAMM,0,1,0
BISCH,2017,2,95.70,72.5,W,FIELER,1,0,0
BISCH,2017,3,114.10,58.4,W,CRAIG,1,0,0
BISCH,2017,4,80.30,122.2,L,LOTH,0,1,0
BISCH,2017,5,96.40,143.1,L,RYAN,0,1,0
BISCH,2017,6,96.30,96,W,CAP,1,0,0
BISCH,2017,7,128.90,121.5,W,COLLIN,1,0,0
BISCH,2017,8,138.00,89.9,W,JAMES,1,0,0
BISCH,2017,9,116.20,91.2,W,MURPH,1,0,0
BISCH,2017,10,112.70,112.4,W,ERIC,1,0,0
BISCH,2017,11,159.40,140.2,W,DUKE,1,0,0
BISCH,2017,12,124.30,99.1,W,HAMM,1,0,0
BISCH,2017,13,138.40,83.1,W,FIELER,1,0,0
BISCH,2017,14,123.20,101.6,W,ERIC,1,0,0
BISCH,2017,15,84.90,124.8,L,COLLIN,0,1,0
BISCH,2017,16,88.40,130.1,L,RYAN,0,1,0
HAMM,2016,1,125.00,93,W,RYAN,1,0,0
HAMM,2016,2,86.00,109,L,BISCH,0,1,0
HAMM,2016,3,110.00,123,L,DUKE,0,1,0
HAMM,2016,4,94.00,66,W,COLLIN,1,0,0
HAMM,2016,5,89.00,107,L,CAP,0,1,0
HAMM,2016,6,138.00,97,W,ERIC,1,0,0
HAMM,2016,7,78.00,75,W,JAMES,1,0,0
HAMM,2016,8,98.00,120,L,CRAIG,0,1,0
HAMM,2016,9,106.00,89,W,LOTH,1,0,0
HAMM,2016,10,121.00,92,W,FIELER,1,0,0
HAMM,2016,11,89.00,117,L,MURPH,0,1,0
HAMM,2016,12,94.00,58,W,RYAN,1,0,0
HAMM,2016,13,127.00,98,W,BISCH,1,0,0
HAMM,2016,14,80.00,89,L,FIELER,0,1,0
HAMM,2016,15,93.00,132,L,LOTH,0,1,0
HAMM,2016,16,78.00,85,L,ERIC,0,1,0
CRAIG,2016,1,117.00,121,L,COLLIN,0,1,0
CRAIG,2016,2,94.00,121,L,LOTH,0,1,0
CRAIG,2016,3,139.00,89,W,FIELER,1,0,0
CRAIG,2016,4,114.00,117,L,MURPH,0,1,0
CRAIG,2016,5,126.00,103,W,RYAN,1,0,0
CRAIG,2016,6,100.00,65,W,BISCH,1,0,0
CRAIG,2016,7,93.00,133,L,DUKE,0,1,0
CRAIG,2016,8,120.00,98,W,HAMM,1,0,0
CRAIG,2016,9,103.00,69,W,CAP,1,0,0
CRAIG,2016,10,150.00,80,W,ERIC,1,0,0
CRAIG,2016,11,119.00,97,W,JAMES,1,0,0
CRAIG,2016,12,118.00,116,W,COLLIN,1,0,0
CRAIG,2016,13,162.00,96,W,LOTH,1,0,0
CRAIG,2016,14,137.00,54,W,COLLIN,1,0,0
CRAIG,2016,15,104.00,88,W,DUKE,1,0,0
CRAIG,2016,16,136.00,121,W,FIELER,1,0,0
LOTH,2016,1,128.00,92,W,JAMES,1,0,0
LOTH,2016,2,121.00,94,W,CRAIG,1,0,0
LOTH,2016,3,110.00,100,W,COLLIN,1,0,0
LOTH,2016,4,64.00,79,L,FIELER,0,1,0
LOTH,2016,5,109.00,125,L,MURPH,0,1,0
LOTH,2016,6,93.00,74,W,RYAN,1,0,0
LOTH,2016,7,87.00,102,L,BISCH,0,1,0
LOTH,2016,8,123.00,93,W,DUKE,1,0,0
LOTH,2016,9,89.00,106,L,HAMM,0,1,0
LOTH,2016,10,98.00,73,W,CAP,1,0,0
LOTH,2016,11,64.00,75,L,ERIC,0,1,0
LOTH,2016,12,73.00,60,W,JAMES,1,0,0
LOTH,2016,13,96.00,162,L,CRAIG,0,1,0
LOTH,2016,14,57.00,123,L,DUKE,0,1,0
LOTH,2016,15,132.00,93,W,HAMM,1,0,0
LOTH,2016,16,99.00,75,W,COLLIN,1,0,0
MURPH,2016,1,69.00,116,L,CAP,0,1,0
MURPH,2016,2,89.00,87,W,ERIC,1,0,0
MURPH,2016,3,101.00,78,W,JAMES,1,0,0
MURPH,2016,4,117.00,114,W,CRAIG,1,0,0
MURPH,2016,5,125.00,109,W,LOTH,1,0,0
MURPH,2016,6,101.00,113,L,FIELER,0,1,0
MURPH,2016,7,92.00,95,L,COLLIN,0,1,0
MURPH,2016,8,96.00,49,W,RYAN,1,0,0
MURPH,2016,9,95.00,83,W,BISCH,1,0,0
MURPH,2016,10,93.00,93.01,L,DUKE,0,1,0
MURPH,2016,11,117.00,89,W,HAMM,1,0,0
MURPH,2016,12,142.00,74,W,CAP,1,0,0
MURPH,2016,13,103.00,77,W,ERIC,1,0,0
MURPH,2016,14,92.00,60,W,ERIC,1,0,0
MURPH,2016,15,91.00,103,L,FIELER,0,1,0
MURPH,2016,16,103.00,114,L,DUKE,0,1,0
FIELER,2016,1,69.00,98,L,ERIC,0,1,0
FIELER,2016,2,111.00,73,W,JAMES,1,0,0
FIELER,2016,3,89.00,139,L,CRAIG,0,1,0
FIELER,2016,4,79.00,64,W,LOTH,1,0,0
FIELER,2016,5,98.00,98,W,COLLIN,1,0,0
FIELER,2016,6,113.00,101,W,MURPH,1,0,0
FIELER,2016,7,83.00,89,L,RYAN,0,1,0
FIELER,2016,8,98.00,76,W,BISCH,1,0,0
FIELER,2016,9,112.00,149,L,DUKE,0,1,0
FIELER,2016,10,92.00,121,L,HAMM,0,1,0
FIELER,2016,11,90.00,85,W,CAP,1,0,0
FIELER,2016,12,116.00,93,W,ERIC,1,0,0
FIELER,2016,13,94.00,98,L,JAMES,0,1,0
FIELER,2016,14,89.00,80,W,HAMM,1,0,0
FIELER,2016,15,103.00,91,W,MURPH,1,0,0
FIELER,2016,16,121.00,136,L,CRAIG,0,1,0
ERIC,2016,1,98.00,69,W,FIELER,1,0,0
ERIC,2016,2,87.00,89,L,MURPH,0,1,0
ERIC,2016,3,50.00,71,L,RYAN,0,1,0
ERIC,2016,4,77.00,74,W,BISCH,1,0,0
ERIC,2016,5,84.00,72,W,DUKE,1,0,0
ERIC,2016,6,97.00,138,L,HAMM,0,1,0
ERIC,2016,7,125.00,66,W,CAP,1,0,0
ERIC,2016,8,114.00,56,W,COLLIN,1,0,0
ERIC,2016,9,90.00,85,W,JAMES,1,0,0
ERIC,2016,10,80.00,150,L,CRAIG,0,1,0
ERIC,2016,11,75.00,64,W,LOTH,1,0,0
ERIC,2016,12,93.00,116,L,FIELER,0,1,0
ERIC,2016,13,77.00,103,L,MURPH,0,1,0
ERIC,2016,14,60.00,92,L,MURPH,0,1,0
ERIC,2016,15,71.00,97,L,COLLIN,0,1,0
ERIC,2016,16,85.00,78,W,HAMM,1,0,0
RYAN,2016,1,93.00,125,L,HAMM,0,1,0
RYAN,2016,2,89.00,108,L,CAP,0,1,0
RYAN,2016,3,71.00,50,W,ERIC,1,0,0
RYAN,2016,4,88.00,105,L,JAMES,0,1,0
RYAN,2016,5,103.00,126,L,CRAIG,0,1,0
RYAN,2016,6,74.00,93,L,LOTH,0,1,0
RYAN,2016,7,89.00,83,W,FIELER,1,0,0
RYAN,2016,8,49.00,96,L,MURPH,0,1,0
RYAN,2016,9,66.00,101,L,COLLIN,0,1,0
RYAN,2016,10,92.00,107,L,BISCH,0,1,0
RYAN,2016,11,67.00,104,L,DUKE,0,1,0
RYAN,2016,12,58.00,94,L,HAMM,0,1,0
RYAN,2016,13,59.00,73,L,CAP,0,1,0
RYAN,2016,14,52.00,64,L,CAP,0,1,0
RYAN,2016,15,68.00,77,L,JAMES,0,1,0
RYAN,2016,16,78.00,61,W,CAP,1,0,0
COLLIN,2016,1,121.00,117,W,CRAIG,1,0,0
COLLIN,2016,2,75.00,73,W,DUKE,1,0,0
COLLIN,2016,3,100.00,110,L,LOTH,0,1,0
COLLIN,2016,4,66.00,94,L,HAMM,0,1,0
COLLIN,2016,5,98.00,98.01,L,FIELER,0,1,0
COLLIN,2016,6,95.00,53,W,CAP,1,0,0
COLLIN,2016,7,95.00,92,W,MURPH,1,0,0
COLLIN,2016,8,56.00,114,L,ERIC,0,1,0
COLLIN,2016,9,101.00,66,W,RYAN,1,0,0
COLLIN,2016,10,63.00,88,L,JAMES,0,1,0
COLLIN,2016,11,85.00,79,W,BISCH,1,0,0
COLLIN,2016,12,116.00,118,L,CRAIG,0,1,0
COLLIN,2016,13,77.00,65,W,DUKE,1,0,0
COLLIN,2016,14,54.00,137,L,CRAIG,0,1,0
COLLIN,2016,15,97.00,71,W,ERIC,1,0,0
COLLIN,2016,16,75.00,99,L,LOTH,0,1,0
CAP,2016,1,116.00,69,W,MURPH,1,0,0
CAP,2016,2,108.00,89,W,RYAN,1,0,0
CAP,2016,3,58.00,87,L,BISCH,0,1,0
CAP,2016,4,87.00,85,W,DUKE,1,0,0
CAP,2016,5,107.00,89,W,HAMM,1,0,0
CAP,2016,6,53.00,95,L,COLLIN,0,1,0
CAP,2016,7,66.00,125,L,ERIC,0,1,0
