Team,Year,Week,Points,Pts_Against,Result,Opponent,W,L,D
COLLIN,2020,6,93.35,93.9,L,BISCH,0,1,0
COLLIN,2020,7,84.10,86.2,L,FIELER,0,1,0
COLLIN,2020,8,123.75,88.95,W,CAP,1,0,0
COLLIN,2020,9,98.85,123.9,L,HAMM,0,1,0
COLLIN,2020,10,77.25,116.45,L,ERIC,0,1,0
COLLIN,2020,11,125.75,110.85,W,CRAIG,1,0,0
COLLIN,2020,12,146.25,115.15,W,RYAN,1,0,0
COLLIN,2020,13,100.15,112.95,L,MURPH,0,1,0
COLLIN,2020,14,87.10,111,L,RYAN,0,1,0
COLLIN,2020,15,135.55,62.05,W,LOTH,1,0,0
COLLIN,2020,16,94.05,95.1,L,RYAN,0,1,0
CAP,2020,1,98.55,129.9,L,MURPH,0,1,0
CAP,2020,2,118.15,88.9,W,LOTH,1,0,0
CAP,2020,3,133.00,104.55,W,JAMES,1,0,0
CAP,2020,4,105.30,126.75,L,DUKE,0,1,0
CAP,2020,5,132.95,104.35,W,BISCH,1,0,0
CAP,2020,6,100.35,71.65,W,FIELER,1,0,0
CAP,2020,7,125.35,161.7,L,HAMM,0,1,0
CAP,2020,8,88.95,123.75,L,COLLIN,0,1,0
CAP,2020,9,112.05,60.35,W,ERIC,1,0,0
CAP,2020,10,92.25,110.55,L,CRAIG,0,1,0
CAP,2020,11,111.30,84.7,W,RYAN,1,0,0
CAP,2020,12,114.90,94.8,W,MURPH,1,0,0
CAP,2020,13,88.75,84.25,W,LOTH,1,0,0
CAP,2020,14,106.75,151.95,L,JAMES,0,1,0
CAP,2020,15,97.15,145.6,L,MURPH,0,1,0
CAP,2020,16,91.50,116.85,L,CRAIG,0,1,0
JAMES,2020,1,101.05,142.8,L,BISCH,0,1,0
JAMES,2020,2,113.70,130.6,L,FIELER,0,1,0
JAMES,2020,3,104.55,133,L,CAP,0,1,0
JAMES,2020,4,151.05,105.9,W,COLLIN,1,0,0
JAMES,2020,5,126.00,100.65,W,ERIC,1,0,0
JAMES,2020,6,116.75,98.4,W,CRAIG,1,0,0
JAMES,2020,7,104.80,104.6,W,RYAN,1,0,0
JAMES,2020,8,103.00,131.1,L,MURPH,0,1,0
JAMES,2020,9,84.80,91.6,L,LOTH,0,1,0
JAMES,2020,10,86.85,110.15,L,HAMM,0,1,0
JAMES,2020,11,96.60,127.55,L,DUKE,0,1,0
JAMES,2020,12,133.40,95.75,W,BISCH,1,0,0
JAMES,2020,13,150.40,115.45,W,FIELER,1,0,0
JAMES,2020,14,151.95,106.75,W,CAP,1,0,0
JAMES,2020,15,127.10,101.95,W,BISCH,1,0,0
JAMES,2020,16,111.90,148.05,L,HAMM,0,1,0
DUKE,2020,1,91.00,130.35,L,HAMM,0,1,0
DUKE,2020,2,174.50,143.85,W,BISCH,1,0,0
DUKE,2020,3,107.35,88,W,FIELER,1,0,0
DUKE,2020,4,126.75,105.3,W,CAP,1,0,0
DUKE,2020,5,108.65,114.15,L,COLLIN,0,1,0
DUKE,2020,6,95.55,140.3,L,ERIC,0,1,0
DUKE,2020,7,116.45,123.8,L,CRAIG,0,1,0
DUKE,2020,8,95.65,80.05,W,RYAN,1,0,0
DUKE,2020,9,84.30,132.1,L,MURPH,0,1,0
DUKE,2020,10,78.10,120.4,L,LOTH,0,1,0
DUKE,2020,11,127.55,96.6,W,JAMES,1,0,0
DUKE,2020,12,77.45,75.85,W,HAMM,1,0,0
DUKE,2020,13,117.55,133.15,L,BISCH,0,1,0
DUKE,2020,14,115.60,161.75,L,HAMM,0,1,0
DUKE,2020,15,142.35,109.8,W,CRAIG,1,0,0
DUKE,2020,16,101.35,122.5,L,MURPH,0,1,0
ERIC,2020,1,113.75,99.7,W,CRAIG,1,0,0
ERIC,2020,2,67.95,136.85,L,RYAN,0,1,0
ERIC,2020,3,156.35,134.8,W,MURPH,1,0,0
ERIC,2020,4,103.05,100.3,W,LOTH,1,0,0
ERIC,2020,5,100.65,126,L,JAMES,0,1,0
ERIC,2020,6,140.30,95.55,W,DUKE,1,0,0
ERIC,2020,7,153.75,84.95,W,BISCH,1,0,0
ERIC,2020,8,98.65,99.3,L,FIELER,0,1,0
ERIC,2020,9,60.35,112.05,L,CAP,0,1,0
ERIC,2020,10,116.45,77.25,W,COLLIN,1,0,0
ERIC,2020,11,121.60,122.6,L,HAMM,0,1,0
ERIC,2020,12,145.75,96.6,W,CRAIG,1,0,0
ERIC,2020,13,77.55,102.75,L,RYAN,0,1,0
ERIC,2020,14,105.70,84.7,W,CRAIG,1,0,0
ERIC,2020,15,94.50,125.95,L,HAMM,0,1,0
ERIC,2020,16,130.80,127.5,W,BISCH,1,0,0
BISCH,2020,1,142.80,101.05,W,JAMES,1,0,0
BISCH,2020,2,143.85,174.5,L,DUKE,0,1,0
BISCH,2020,3,129.55,122.35,W,HAMM,1,0,0
BISCH,2020,4,94.70,125.3,L,FIELER,0,1,0
BISCH,2020,5,104.35,132.95,L,CAP,0,1,0
BISCH,2020,6,93.90,93.35,W,COLLIN,1,0,0
BISCH,2020,7,84.95,153.75,L,ERIC,0,1,0
BISCH,2020,8,106.40,109.1,L,CRAIG,0,1,0
BISCH,2020,9,104.15,99,W,RYAN,1,0,0
BISCH,2020,10,98.00,104.55,L,MURPH,0,1,0
BISCH,2020,11,127.05,90.25,W,LOTH,1,0,0
BISCH,2020,12,95.75,133.4,L,JAMES,0,1,0
BISCH,2020,13,133.15,117.55,W,DUKE,1,0,0
BISCH,2020,14,109.90,75.45,W,MURPH,1,0,0
BISCH,2020,15,101.95,127.1,L,JAMES,0,1,0
BISCH,2020,16,127.50,130.8,L,ERIC,0,1,0
HAMM,2019,1,135.50,94.7,W,CAP,1,0,0
HAMM,2019,2,138.30,148,L,JAMES,0,1,0
HAMM,2019,3,109.90,85.7,W,CRAIG,1,0,0
